Student_ID,Name,Gender,Age,Class,Section,Attendance,Study_Hours,Assignments,Previous_Marks,Internal_Marks,Project_Score,Practical_Score,Behavior_Score,Participation,Internet_Access,Family_Income,Parent_Education,Sleep_Hours,Extra_Curricular,Stress_Level,Exam_Preparation,Final_Exam,Final_Grade,Performance,Risk_Level,Pass_Fail
STU100000,Riya Rao,Female,13,6,A,81.81,3.73,64.03,52.8,62.99,83.78,83.81,77.66,58.9,Yes,58841.0,Doctorate,7.37,Yes,7.09,66.61,45.13,D,Needs Improvement,High Risk,Pass
STU100001,Diya Gupta,Male,18,11,C,67.42,3.64,76.4,68.37,69.41,71.55,72.67,75.48,81.74,Yes,32448.0,Postgraduate,9.99,Yes,9.26,97.03,52.62,C,Average,Critical Risk,Pass
STU100002,Arjun Khan,Male,16,10,B,79.96,3.4,65.05,63.4,65.74,69.9,99.89,48.04,93.27,Yes,20963.0,Graduate,8.4,Yes,7.01,55.75,45.11,D,Needs Improvement,High Risk,Pass
STU100003,Ira Bose,Male,15,9,B,70.76,2.17,70.06,84.17,71.78,83.36,81.23,80.88,46.89,Yes,58087.0,Graduate,6.53,Yes,3.53,41.18,52.02,C,Average,High Risk,Pass
STU100004,Meera Sharma,Female,14,9,B,78.67,5.62,95.32,70.97,69.35,67.27,96.75,54.3,100.0,Yes,48591.0,Postgraduate,5.87,Yes,5.45,100.0,63.24,B,Average,Medium Risk,Pass
STU100005,Kiara Iyer,Female,18,12,B,51.28,3.12,73.77,57.22,48.02,68.73,57.8,84.62,52.73,Yes,63408.0,High School,6.53,No,3.0,76.31,41.97,D,Needs Improvement,High Risk,Pass
STU100006,Arjun Gupta,Male,11,6,C,68.46,5.98,48.56,85.55,81.58,82.92,87.15,79.71,39.31,Yes,48585.0,Graduate,6.89,No,7.52,72.86,56.59,C,Average,High Risk,Pass
STU100007,Kiara Sharma,Male,16,10,D,99.57,3.72,69.65,81.66,80.92,86.28,91.25,87.57,100.0,Yes,45612.0,Graduate,6.17,No,3.39,100.0,67.42,B,Average,Low Risk,Pass
STU100008,Ananya Gupta,Male,12,7,B,91.96,4.74,76.87,47.42,62.01,60.75,78.93,70.39,51.26,Yes,45232.0,High School,5.76,Yes,9.56,39.19,36.6,F,Needs Improvement,High Risk,Fail
STU100009,Meera Gupta,Male,13,6,A,97.83,4.59,76.6,74.04,74.31,81.22,74.95,78.32,97.43,Yes,42511.0,Graduate,7.26,Yes,4.52,69.91,62.2,B,Average,Low Risk,Pass
STU100010,Myra Singh,Female,14,9,A,98.65,2.38,84.34,58.56,49.16,59.4,78.6,86.11,58.03,Yes,144356.0,High School,7.98,Yes,5.01,44.36,46.07,D,Needs Improvement,Medium Risk,Pass
